dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	soundname	cog	sd	skewness	kurtosis	utterance	language	stimulus	cog_Bark	sd_bark	sd_distance
d16	sajna_1	13.98962	2.0944253	2298.669	0.007311427	nanai_d16_sajna	5524.253774693338	4136.655160658688	0.4070734927550444	-0.7919915856839723	1	nanai	sajna	19.120415795313168	17.450469108872632	1.9612575121286682
d19	nəsasaqen_3	19.1989	7.729749	5598.633	0.010075316	chukchi_d19	4661.033704681433	3532.154592642241	-0.1528263392302564	-1.2640286286510432	3	chukchi	nəsasaqen	18.13359969434143	16.548575063240495	0.9617925663881123
d19	nəsasaqen_5	19.00986	7.726034	5420.984	0.010207696	chukchi_d19	5074.3558548130695	2438.067752453193	-0.977515826472982	0.4480403739502403	5	chukchi	nəsasaqen	18.624584927987094	14.35527924235294	0.9617925663881123
d21	nəsasaqen_3	21.69015	4.594186	8634.814	0.004520482	chukchi_d21	8354.51694083662	1446.0831694591575	-3.1609039287837892	15.32980243679799	3	chukchi	nəsasaqen	21.513249945057147	10.953064354694936	0.9617925663881123
d16	sajrakta_2	13.67212	1.2055381	2185.62	0.004352672	nanai_d16_sajrakta	385.6062121673059	1270.0261954429207	7.7158543079156	84.49265048783202	2	nanai	sajrakta	3.715270977932164	10.080463458917764	1.9612575121286682
d19	nəsasaqen2_2	7.505182	-4.02883	850.5615	0.0153626	chukchi_d19	2688.907648070705	2970.3130208805333	0.6733143916133909	-0.9370618388241856	2	chukchi	nəsasaqen2	14.951698959080117	15.54387649133294	0.9617925663881123
d21	nəsasaqen2_2	19.8626	15.97549	6266.162	0.01707055	chukchi_d21	8008.311755266205	2711.084883826913	-1.4549099815121147	2.1619328485326106	2	chukchi	nəsasaqen2	21.281086024897526	15.001078113903588	0.9617925663881123
d48	sapɐ_3	20.44104	7.3962383	6914.062	0.008091876	adyghe_d48	8368.085373054566	2455.181265479587	0.9772491333589998	5.133505455787713	3	adyghe	sapɐ	21.522037547735422	14.398363615783877	0.6589451106960579
d13	giasa_1	18.05451	7.850265	4597.339	0.012730979	nanai_d13_giasa	2808.7410760683783	2644.7561986421224	0.3230456616725971	-0.568731006265029	1	nanai	giasa	15.212734754906494	14.851872889410341	1.9612575121286682
d13	giasa_2	18.79122	5.889827	5221.802	0.008757984	nanai_d13_giasa	2855.7779062949894	3060.3596118748987	0.7635746894430369	0.008203247315461404	2	nanai	giasa	15.311481775685118	15.719133039339233	1.9612575121286682
d13	giasa_3	18.50264	5.941151	4968.787	0.009281772	nanai_d13_giasa	3574.2359664752644	2788.5354809535042	0.0908073413998314	-0.3652926809319461	3	nanai	giasa	16.616429672035753	15.169692180811804	1.9612575121286682
d13	sajna_1	18.76111	5.937889	5194.885	0.010043589	nanai_d13_sajna	5241.695280165606	1678.338627696202	0.12531878456830553	7.040343764430634	1	nanai	sajna	18.813388326105883	11.951799741237442	1.9612575121286682
d13	sajna_2	18.94561	5.18731	5361.768	0.008723354	nanai_d13_sajna	5162.391081423832	1807.3333079418878	-0.19104878369974315	5.930531075483794	2	nanai	sajna	18.72458365601346	12.442597946278253	1.9612575121286682
d13	sajna_3	19.21581	4.257575	5614.783	0.007069899	nanai_d13_sajna	4840.6417327794225	2103.3238728455954	-0.43518734215454025	3.1651476073585734	3	nanai	sajna	18.35150789943196	13.427879378650916	1.9612575121286682
d14	giasa_1	19.46973	10.073459	5862.415	0.012986754	nanai_d14_giasa	6104.805359446375	2019.1864742892294	-0.20470098240571305	6.423244544145723	1	nanai	giasa	19.70865930313562	13.165711412992604	1.9612575121286682
d14	giasa_2	19.50211	7.972033	5894.714	0.010599403	nanai_d14_giasa	6170.472685355856	2821.6230612837653	-0.1680383256217104	2.3582984753810914	2	nanai	giasa	19.771793674328325	15.239978656689587	1.9612575121286682
d14	giasa_3	18.82717	7.396004	5254.102	0.010761725	nanai_d14_giasa	5742.955252527153	2016.231944732498	0.1776855123851436	6.146177603481771	3	nanai	giasa	19.34850661548801	13.156263649529757	1.9612575121286682
d14	sain_1	20.32436	7.334837	6777.576	0.008948626	nanai_d14_sain	6503.991719303343	1835.727470219291	-0.09620103563141205	7.872777669040122	1	nanai	sain	20.082216806779552	12.545204052484074	1.9612575121286682
d14	sain_2	19.7912	7.255952	6190.796	0.009198415	nanai_d14_sain	6303.078660992549	2352.6274045285954	-0.6638399460671255	3.4945306119737642	2	nanai	sain	19.897250112216803	14.134367081313036	1.9612575121286682
d14	sain_3	19.05042	7.908621	5458.667	0.010933016	nanai_d14_sain	6289.55796754761	1677.2902934398148	-1.0137334006628604	8.085937868457535	3	nanai	sain	19.884582154470557	11.947637142569342	1.9612575121286682
d14	sajna_1	19.76549	6.762679	6163.879	0.008906405	nanai_d14_sajna	6567.8173883125155	2723.7349069876254	-0.20122115313715816	2.8909478582701498	1	nanai	sajna	20.139703077623007	15.029021030189623	1.9612575121286682
d14	sajna_2	19.74483	7.448063	6142.346	0.009873983	nanai_d14_sajna	6342.12312942174	2385.918642935598	0.1491377486828275	4.823766870559141	2	nanai	sajna	19.93367526529654	14.221620200021944	1.9612575121286682
d14	sajna_3	18.96905	7.36792	5383.301	0.011147269	nanai_d14_sajna	5710.334038004163	2591.0232424092424	-0.5670500546182388	2.0342624518521104	3	nanai	sajna	19.314994773060864	14.72755211340601	1.9612575121286682
d15	giasa_1	13.21564	2.74824	2034.888	0.010508108	nanai_d15_giasa	6951.132962469391	4363.729989571522	-0.47678471597258104	-1.1627573496378114	1	nanai	giasa	20.472256982452972	17.755651552821643	1.9612575121286682
d15	giasa_2	13.11241	4.240587	2002.588	0.016851257	nanai_d15_giasa	7364.9101019387845	4580.980981940352	-0.6262014200015316	-1.2254325451347967	2	nanai	giasa	20.807355637471108	18.03404402372601	1.9612575121286682
d15	giasa_3	13.43258	3.794124	2104.871	0.014483828	nanai_d15_giasa	5327.287112888062	4779.802925883688	0.14298518916690364	-1.588604282261077	3	nanai	giasa	18.907913695563163	18.278514021460765	1.9612575121286682
d15	sain_1	13.41621	4.128026	2099.487	0.014995819	nanai_d15_sain	7706.179681551802	2053.1780307695512	-0.9888390514832118	2.6478673936246055	1	nanai	sain	21.06563743224955	13.273209161068888	1.9612575121286682
d15	sain_2	13.33357	3.781348	2072.571	0.0141159	nanai_d15_sain	7680.343195090434	2425.1043746331925	-0.8766346736202396	1.4690282258804466	2	nanai	sain	21.04664375917568	14.322390351091151	1.9612575121286682
d15	sajna_1	12.73463	1.8256270000000001	1889.539	0.007290933	nanai_d15_sajna	1408.0576915108647	2871.3444304039613	1.9824323507592492	3.0030014033820525	1	nanai	sajna	10.773685136269787	15.343724848653927	1.9612575121286682
d15	sajna_2	13.09501	2.498583	1997.205	0.010559481	nanai_d15_sajna	6179.611641316661	3476.42067188667	-0.14927896624373369	-0.15232585383246056	2	nanai	sajna	19.78052696897972	16.457331967009026	1.9612575121286682
d15	sajna_3	13.49755	3.871406	2126.404	0.01453277	nanai_d15_sajna	3884.590446413261	3418.4565782265327	0.6512440704620459	-0.3165423461598085	3	nanai	sajna	17.09200721331981	16.360706338660734	1.9612575121286682
