dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d6	sajkanə_2	19.87778	2.757375	6282.312	0.003761383	
d6	sajkət _2	19.76549	2.887173	6163.879	0.004212323	
d6	sajkət_1	19.75	3.073138	6147.729	0.004332971	
d7	sajkač'kənə_1	19.85752	5.470747	6260.779	0.006576705	
d7	sajkač'kənə_2	19.72411	6.089538	6120.813	0.008037444	
d7	sajkač'kənə_3	19.85245	6.706781	6255.396	0.008746006	
d7	sajkatənə_1	19.82701	6.537636	6228.479	0.00842094	
d7	sajkatənə_2	19.65626	6.388691	6050.83	0.009329191	
d7	sajkatənə_3	19.7293	6.895624	6126.196	0.009857438	
d7	sajkomənə_1	19.41539	7.44406	5808.582	0.009680964	
d7	sajkomənə_2	19.7293	6.604323	6126.196	0.008441716	
d8	sajkač'ke_1	20.14917	4.75424	6578.394	0.007962292	
d8	sajkač'ke_2	21.99475	4.067984	6772.192	0.00510428	
d8	sajkač'ke_3	20.14435	3.22813	6573.01	0.00305423	
d8	sajkišʼkənə_1	21.2563	5.099042	7972.668	0.00473859	
d8	sajkišʼkənə_2	22.47724	1.334592	7865.002	0.003416343	
d8	sajkišʼkənə_3	22.47478	3.544798	7848.853	0.005258598	
d9	sajkanə_1	19.07348	6.448246	5480.2	0.006939169	
d9	sajkanə_2	20.05691	4.071716	6476.111	0.004400083	
d9	sajkanə_3	18.85698	6.251522	5281.018	0.007313626	
d9	sajkanə_4	18.8748	7.748794	5297.168	0.009240977	
d9	sajkanə_5	19.7293	5.984172	6126.196	0.006319026	
d9	sajkaz_1	19.10793	8.245385	5512.5	0.010098778	
d9	sajkaz_2	19.14788	5.925021	5550.183	0.007639257	
d9	sajkət_1	19.7293	3.867418	6126.196	0.003225974	
d9	sajkət_2	19.61412	5.08414	6007.764	0.004895362	
d9	sajkət_3	19.08498	8.141698	5490.967	0.009132962	
