dictor	value	max_Bark	slope_Bark	max_Hertz	slope_Hertz	delete
d25	посад_3	19.31084	3.722371	5706.299	0.005066536	delete
d25	савва_1	19.70332	3.364946	5996.997	0.004796184	delete
d25	санки_1	19.32192	4.615476	5717.065	0.006970522	delete
d25	санки_2	18.00726	4.857389	4559.656	0.008692445	delete
d25	санки_cf	18.74903	7.220513	5184.119	0.010045558	delete
d25	сахар_1	20.8819	2.908267	5221.802	0.011797055	
d25	сахар_2	18.3759	6.790583	4861.121	0.011349865	
d25	сахар_3	20.99997	2.737289	4694.238	0.010221489	
d25	сахар_cf	19.62996	3.614564	5996.997	0.00525872	
d25	саша_1	19.01567	3.911558	5426.367	0.006397124	delete
d25	саша_2	18.75508	4.302309	5189.502	0.007003693	delete
d25	саша_cf	18.85103	2.809432	5275.635	0.004578566	delete
d25	сэндвич_1	19.4263	3.666696	5819.348	0.005268879	delete
d25	сэндвич_2	18.43323	3.979879	4909.57	0.006214378	delete
d25	сэндвич_3	18.40781	5.787524	4888.037	0.006059328	delete
d25	сэндвич_cf	19.56637	4.070521	5959.314	0.005509136	delete
d25	сэр_1	18.61465	4.808528	5065.686	0.007110076	delete
d25	сэр_2	18.16123	5.962552	4683.472	0.009773951	delete
d25	сэр_3	17.63016	5.620509	4268.958	0.010073992	delete
d25	сэр_cf	19.79633	4.616023	5996.997	0.006272417	delete
d28	глясе_1	19.65101	3.69885	6045.447	0.006420488	delete
d28	глясе_2	19.71892	6.34967	6115.43	0.007088754	delete
d28	глясе_3	18.8212	6.438181	5248.718	0.00677415	delete
d28	глясе_cf	19.62732	5.75137	6021.222	0.008244397	delete
d28	колбаса_1	20.99997	2.807016	5695.532	0.004532159	delete
d28	колбаса_2	20.69629	3.19345	6998.291	0.004631808	delete
d28	колбаса_3	20.74343	3.742755	5792.432	0.006383872	delete
d28	колбаса_cf	20.99997	3.953311	6998.291	0.004915892	delete
d28	коса_1	20.99997	3.296951	6998.291	0.00432469	
d28	коса_2	20.61149	3.714489	6998.291	0.004863438	
